# MLT(line2), Mlat(lines 3-21), EFlux(lines 22-40), AveE(lines 41-59)
67.86  67.75  67.61  67.59  67.56  67.56  67.67  67.76  67.87  68.07  68.31  68.46  68.75  69.00  69.19  69.49  69.75  69.97  70.30  70.61  71.02  71.37  71.80  72.15  72.59  73.12  73.56  74.09  74.69  75.04  75.54  76.03  76.27  76.45  76.71  77.08  77.24  77.19  77.38  77.65  77.90  78.01  78.53  78.67  79.44  79.55  79.80  79.42  79.66  79.38  78.89  78.62  78.16  78.08  77.87  77.86  77.70  77.64  77.59  77.51  77.35  77.30  77.18  77.00  76.84  76.55  76.41  76.08  75.72  75.38  74.91  74.50  74.06  73.58  73.19  72.71  72.29  71.91  71.58  71.27  70.82  70.56  70.29  70.10  69.79  69.45  69.13  68.97  68.89  68.67  68.58  68.51  68.35  68.21  68.05  68.07  
68.07  67.83  67.75  67.70  67.70  67.70  67.76  67.85  68.01  68.22  68.40  68.61  68.88  69.11  69.30  69.60  69.87  70.16  70.46  70.80  71.13  71.55  72.02  72.35  72.81  73.34  73.85  74.36  74.95  75.29  75.73  76.23  76.46  76.63  76.88  77.10  77.25  77.33  77.43  77.74  78.00  78.10  78.60  78.88  79.55  79.70  79.83  79.44  79.66  79.40  79.03  78.68  78.23  78.13  77.96  77.87  77.75  77.69  77.62  77.65  77.49  77.33  77.23  77.11  76.85  76.73  76.49  76.14  75.83  75.45  75.09  74.70  74.27  73.74  73.33  72.85  72.42  72.07  71.74  71.37  70.94  70.69  70.38  70.23  69.94  69.56  69.28  69.12  69.00  68.81  68.73  68.63  68.48  68.39  68.27  68.10  
68.10  68.02  67.93  67.86  67.90  67.83  67.92  67.96  68.13  68.30  68.54  68.77  68.92  69.25  69.43  69.72  70.05  70.34  70.61  70.97  71.34  71.70  72.23  72.58  73.03  73.59  74.07  74.62  75.18  75.50  76.02  76.43  76.57  76.81  77.05  77.25  77.40  77.47  77.60  77.82  78.09  78.28  78.73  79.01  79.61  79.70  79.85  79.64  79.66  79.40  79.03  78.73  78.23  78.13  78.05  77.96  77.82  77.76  77.73  77.66  77.51  77.44  77.36  77.19  77.03  76.75  76.61  76.22  75.94  75.59  75.13  74.73  74.29  73.80  73.44  72.97  72.54  72.20  71.78  71.46  71.05  70.77  70.50  70.27  69.96  69.67  69.41  69.23  69.10  68.99  68.86  68.78  68.64  68.61  68.47  68.32  
68.32  68.22  68.11  68.01  68.01  67.98  68.05  68.15  68.21  68.43  68.68  68.92  69.08  69.38  69.55  69.86  70.17  70.45  70.79  71.17  71.55  71.92  72.48  72.81  73.25  73.85  74.33  74.89  75.46  75.81  76.22  76.62  76.83  76.98  77.22  77.41  77.57  77.53  77.68  77.93  78.20  78.30  78.81  79.07  79.65  79.77  80.02  79.64  79.87  79.42  79.07  78.77  78.29  78.21  78.07  77.97  77.89  77.82  77.76  77.67  77.51  77.47  77.44  77.25  77.05  76.93  76.64  76.36  76.05  75.67  75.31  74.93  74.50  73.99  73.58  73.08  72.66  72.27  71.95  71.57  71.15  70.90  70.64  70.41  70.11  69.76  69.49  69.35  69.21  69.10  68.99  68.93  68.80  68.79  68.67  68.53  
68.54  68.41  68.33  68.18  68.17  68.17  68.16  68.26  68.40  68.58  68.82  69.07  69.23  69.50  69.78  70.02  70.37  70.65  71.00  71.38  71.77  72.17  72.67  73.04  73.48  74.11  74.62  75.22  75.80  76.15  76.51  76.82  76.99  77.19  77.36  77.57  77.71  77.67  77.81  78.05  78.20  78.49  78.86  79.16  79.77  79.91  80.05  79.66  79.88  79.60  79.11  78.89  78.35  78.29  78.07  78.07  77.94  77.87  77.79  77.81  77.67  77.58  77.49  77.37  77.15  76.95  76.77  76.50  76.15  75.81  75.35  74.95  74.70  74.02  73.69  73.24  72.76  72.40  72.06  71.67  71.27  71.02  70.74  70.55  70.26  69.87  69.67  69.46  69.38  69.19  69.13  69.07  68.96  68.94  68.89  68.75  
68.75  68.61  68.52  68.39  68.33  68.32  68.35  68.45  68.55  68.74  68.99  69.23  69.39  69.69  69.96  70.21  70.56  70.85  71.20  71.65  72.02  72.42  72.94  73.47  73.70  74.49  75.06  75.58  76.15  76.43  76.80  77.01  77.25  77.38  77.53  77.71  77.88  77.82  77.91  78.11  78.30  78.50  79.02  79.22  79.82  79.91  80.07  79.86  80.09  79.62  79.25  78.89  78.44  78.34  78.16  78.16  78.01  77.95  77.90  77.82  77.80  77.61  77.54  77.42  77.22  77.04  76.85  76.57  76.32  75.92  75.55  75.16  74.72  74.23  73.84  73.40  72.91  72.52  72.17  71.87  71.43  71.13  70.83  70.59  70.40  70.01  69.77  69.61  69.50  69.31  69.28  69.21  69.12  69.12  69.11  68.94  
68.96  68.83  68.73  68.61  68.54  68.49  68.55  68.65  68.74  68.92  69.16  69.39  69.55  69.90  70.14  70.42  70.76  71.12  71.44  71.92  72.36  72.75  73.22  73.90  74.14  74.77  75.43  75.94  76.49  76.71  77.01  77.31  77.44  77.60  77.67  77.88  78.03  77.99  78.04  78.24  78.40  78.57  79.06  79.37  79.87  79.96  80.29  79.88  80.10  79.64  79.29  78.94  78.44  78.34  78.25  78.17  78.05  78.00  77.93  77.96  77.82  77.75  77.67  77.56  77.33  77.14  76.98  76.71  76.42  76.07  75.73  75.36  74.94  74.40  74.02  73.51  73.03  72.69  72.35  71.98  71.57  71.29  71.00  70.74  70.55  70.15  69.90  69.76  69.61  69.48  69.42  69.37  69.28  69.26  69.25  68.99  
69.19  69.09  68.95  68.80  68.75  68.74  68.75  68.84  68.99  69.17  69.41  69.69  69.85  70.13  70.40  70.70  71.06  71.44  71.78  72.22  72.73  73.11  73.66  74.34  74.58  75.37  75.89  76.34  76.85  77.05  77.30  77.59  77.67  77.81  77.95  78.03  78.19  78.15  78.13  78.42  78.58  78.64  79.06  79.50  80.03  79.99  80.29  79.88  80.10  79.84  79.32  79.11  78.50  78.37  78.25  78.26  78.12  78.07  78.04  77.97  77.82  77.78  77.72  77.68  77.44  77.24  77.10  76.84  76.53  76.24  75.95  75.39  75.15  74.46  74.13  73.72  73.24  72.84  72.46  72.17  71.73  71.39  71.15  70.89  70.59  70.29  70.03  69.91  69.71  69.68  69.61  69.56  69.47  69.47  69.37  69.40  
69.42  69.34  69.23  69.09  69.03  68.99  69.04  69.14  69.28  69.46  69.72  69.99  70.16  70.44  70.76  71.08  71.46  71.84  72.22  72.71  73.22  73.66  74.26  74.81  75.24  75.87  76.40  76.82  77.19  77.41  77.61  77.90  77.93  77.99  78.15  78.19  78.35  78.32  78.32  78.54  78.60  78.77  79.15  79.71  80.09  80.21  80.49  80.09  80.31  79.86  79.47  79.16  78.56  78.42  78.27  78.35  78.24  78.13  78.10  78.12  77.98  77.92  77.85  77.74  77.54  77.44  77.19  76.92  76.75  76.35  76.01  75.60  75.36  74.68  74.45  73.98  73.45  73.05  72.69  72.37  71.88  71.57  71.29  71.05  70.86  70.46  70.23  70.04  69.90  69.80  69.74  69.75  69.66  69.69  69.60  69.63  
69.65  69.70  69.61  69.45  69.38  69.36  69.40  69.45  69.65  69.81  70.12  70.45  70.62  70.97  71.27  71.61  72.05  72.44  72.89  73.34  74.01  74.42  74.98  75.68  76.11  76.68  77.05  77.30  77.69  77.87  78.01  78.20  78.24  78.30  78.44  78.50  78.50  78.57  78.53  78.77  78.70  78.80  79.30  79.79  80.13  80.24  80.53  80.10  80.54  80.04  79.47  79.21  78.65  78.50  78.36  78.37  78.38  78.25  78.25  78.27  78.13  78.06  78.03  77.86  77.64  77.54  77.34  77.20  76.89  76.57  76.23  75.83  75.59  75.08  74.71  74.19  73.72  73.38  72.93  72.57  72.11  71.80  71.53  71.33  71.02  70.67  70.41  70.26  70.10  70.06  70.02  69.98  69.93  69.91  69.94  69.87  
