Short,    , wave, 1.00E+00,Ang,     1.000,     2.000,     4.000,     8.000,    16.000,    23.000,    32.000,    50.000,   100.000,   150.000,   200.000,   256.300,   284.150,   250.000,   303.310,   303.780,   300.000,   368.070,   350.000,   400.000,   465.220,   450.000,   500.000,   554.370,   584.330,   550.000,   609.760,   629.730,   600.000,   650.000,   703.310,   700.000,   765.150,   770.410,   789.360,   750.000,   800.000,   850.000,   900.000,   977.020,   950.000,  1025.720,  1031.910,  1000.000,  1050.000,  1100.000,  1150.000,  1215.670,  1200.000,  1250.000,  1300.000,  1350.000,  1400.000,  1450.000,  1500.000,  1550.000,  1600.000,  1650.000,  1700.000
   O2, O2+,  ion, 1.00E-22, m2,     0.000,     0.004,     0.024,     0.140,     1.020,     0.100,     0.320,     1.320,     3.810,     7.510,    10.900,    13.400,    15.800,    14.400,    16.800,    16.800,    17.400,    18.300,    18.100,    20.300,    21.900,    23.100,    24.600,    26.000,    22.800,    26.600,    26.400,    31.100,    24.900,    21.300,    23.800,    23.800,    11.700,     8.470,    10.200,    10.600,     6.410,     5.490,     9.370,    15.500,    13.900,     1.050,     0.000,     0.259,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
   NO, NO+,  ion, 1.00E-22, m2,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    24.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    24.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    10.000,     0.000,     0.000,     0.000,     0.000,     0.000,     2.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
  CH4,CH4+,  ion, 1.00E-22, m2,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.200,     0.590,     1.500,     2.790,     3.860,     5.050,     4.360,     6.030,     6.060,     7.830,    10.170,     9.780,    14.700,    18.770,    21.450,    24.640,    27.920,    31.050,    30.700,    33.180,    35.280,    34.990,    39.280,    41.070,    42.930,    44.800,    44.800,    44.610,    44.690,    40.280,    25.530,    13.860,     0.140,     0.480,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
  CO2,CO2+,  ion, 1.00E-22, m2,     1.550,     1.550,     1.550,     1.550,     1.550,     1.550,     1.550,     1.550,     4.620,     9.090,    14.320,    16.110,    18.600,    17.140,    21.390,    21.440,    23.630,    25.560,    25.520,    27.170,    28.760,    30.680,    32.602,    33.210,    33.860,    34.960,    35.300,    34.300,    34.570,    32.290,    20.860,    27.490,    86.320,    51.770,    21.680,    34.090,    10.930,     7.140,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
    O,  O+,  ion, 1.00E-22, m2,     0.000,     0.001,     0.004,     0.020,     0.015,     0.015,     0.050,     0.219,     0.534,     1.007,     1.352,     1.512,     1.770,     1.615,     1.920,     1.925,     2.259,     2.558,     2.519,     3.105,     3.332,     3.388,     3.388,     3.654,     3.930,     3.640,     3.618,     3.886,     4.288,     5.160,     4.945,     6.741,     4.000,     3.890,     3.750,     5.090,     3.500,     4.550,     1.320,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
    O,O+2D,  ion, 1.00E-22, m2,     0.000,     0.001,     0.004,     0.020,     0.015,     0.015,     0.050,     0.234,     0.589,     1.231,     1.820,     2.117,     2.620,     2.326,     2.842,     2.849,     3.476,     3.936,     3.876,     4.945,     5.355,     5.445,     5.445,     5.670,     6.026,     5.850,     6.164,     6.298,     6.164,    11.352,     6.555,     3.959,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
    O,O+2P,  ion, 1.00E-22, m2,     0.000,     0.001,     0.004,     0.030,     0.020,     0.020,     0.060,     0.277,     0.718,     1.492,     2.028,     2.420,     2.690,     2.519,     2.918,     2.926,     2.955,     3.346,     3.295,     3.450,     3.213,     3.267,     3.267,     3.276,     3.144,     3.510,     3.618,     3.216,     2.948,     0.688,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
   O2, O2+,peion, 1.00E+00,rat,   134.690,   134.690,    32.212,    13.309,    39.615,    39.615,     2.834,     1.092,     1.092,     0.416,     0.184,     0.184,     0.184,     0.184,     0.090,     0.090,     0.024,     0.024,     0.024,     0.024,     0.024,     0.024,     0.024,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
   O2,  O+,peion, 1.00E+00,rat,    76.136,    76.136,    17.944,     6.981,    20.338,    20.338,     1.437,     0.521,     0.521,     0.163,     0.052,     0.052,     0.052,     0.052,     0.014,     0.014,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
    O,  O+,peion, 1.00E+00,rat,    81.240,    81.240,    18.896,     9.425,    28.622,    28.622,     2.019,     0.902,     0.902,     0.470,     0.325,     0.325,     0.325,     0.325,     0.209,     0.209,     0.084,     0.084,     0.084,     0.084,     0.084,     0.084,     0.084,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
    O,O+2D,peion, 1.00E+00,rat,    88.526,    88.526,    20.691,     9.365,    28.199,    28.199,     1.962,     0.853,     0.853,     0.418,     0.253,     0.253,     0.253,     0.253,     0.148,     0.148,     0.034,     0.034,     0.034,     0.034,     0.034,     0.034,     0.034,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
    O,O+2P,peion, 1.00E+00,rat,    47.358,    47.358,    11.007,     4.772,    14.556,    14.556,     1.014,     0.436,     0.436,     0.203,     0.116,     0.116,     0.116,     0.116,     0.061,     0.061,     0.009,     0.009,     0.009,     0.009,     0.009,     0.009,     0.009,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
   N2, N2+,peion, 1.00E+00,rat,   263.990,   263.990,    62.570,    25.213,     8.540,     8.540,     6.142,     2.288,     2.288,     0.786,     0.324,     0.324,     0.324,     0.324,     0.169,     0.169,     0.031,     0.031,     0.031,     0.031,     0.031,     0.031,     0.031,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
   N2,  N+,peion, 1.00E+00,rat,    78.674,    78.674,    18.310,     6.948,     2.295,     2.295,     1.647,     1.647,     0.571,     0.146,     0.037,     0.037,     0.037,     0.037,     0.008,     0.008,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
   O2,   O,  dis, 1.00E-22, m2,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.300,     2.200,    12.000,    15.000,    13.000,    10.000,     6.000,     3.400,     1.500,     0.500
   N2,   N,  dis, 1.00E-22, m2,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    17.000,    20.200,     9.680,     2.240,    51.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
   O2,   O,pedis, 1.00E+00,rat,    87.864,    87.864,    20.318,    17.821,    56.969,    56.969,     4.113,     2.041,     2.041,     1.271,     0.996,     0.996,     0.996,     0.996,     0.762,     0.762,     0.653,     0.653,     0.653,     0.653,     0.653,     0.653,     0.653,     0.011,     0.011,     0.011,     0.011,     0.011,     0.011,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
   N2,   N,pedis, 1.00E+00,rat,   245.000,   245.000,    52.052,    25.255,     9.049,     9.049,     6.532,     2.909,     2.909,     1.371,     0.764,     0.764,     0.764,     0.764,     0.515,     0.515,     0.157,     0.157,     0.157,     0.157,     0.157,     0.157,     0.157,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
