
Downloaded from OMNIWeb and processed by omniweb_read.py

No AlphaRatio was considered

#TIMEDELAY
0.0

#START
 2010 04 01 01 42 00 000    4.99    -6.51    -0.60  -418.10     27.10      4.30    4.29    258215.0
 2010 04 01 01 43 00 000    5.59    -6.28    -0.57  -418.10     27.10      4.30    4.29    258215.0
 2010 04 01 01 44 00 000    5.84    -6.18    -1.31  -417.20     39.40     13.40    4.13    202874.0
 2010 04 01 01 45 00 000    5.82    -5.74    -2.22  -412.90     28.30      5.70    4.40    220665.0
 2010 04 01 01 46 00 000    6.42    -5.52    -2.67  -411.70     13.40      3.10    5.12    278919.0
 2010 04 01 01 47 00 000    5.88    -6.21    -1.79  -409.20     43.50     -2.10    3.53    161176.0
 2010 04 01 01 48 00 000    5.60    -5.80    -1.72  -411.40     42.10    -13.80    3.80    201484.0
 2010 04 01 01 49 00 000    5.65    -4.99    -3.83  -409.50     36.80    -25.10    4.11    212746.0
 2010 04 01 01 50 00 000    5.62    -6.43     0.65  -409.40     36.40    -26.00    4.17    216206.0
 2010 04 01 01 51 00 000    5.82    -6.29     0.55  -408.30     40.70      9.10    4.36    184747.0
 2010 04 01 01 52 00 000    5.50    -6.45     0.20  -410.60     37.60     -7.10    4.94    272494.0
 2010 04 01 01 53 00 000    5.40    -6.30    -1.04  -411.20     36.80    -11.60    5.11    297322.0
 2010 04 01 01 54 00 000    5.03    -6.41     0.34  -404.00     36.00      3.00    5.25    244108.0
 2010 04 01 01 55 00 000    5.32    -6.48    -0.65  -412.30     42.30     12.20    4.58    225061.0
 2010 04 01 01 56 00 000    5.02    -6.74     0.29  -409.40     40.50      9.30    4.75    238550.0
 2010 04 01 01 57 00 000    5.46    -6.66    -0.23  -401.50     45.70     17.90    4.38    176387.0
 2010 04 01 01 58 00 000    5.07    -6.35     0.27  -402.70     44.20      9.10    4.65    216564.0
 2010 04 01 01 59 00 000    5.99    -6.31    -0.75  -408.50     34.60     11.30    3.83    161107.0
 2010 04 01 02 00 00 000    5.77    -6.64    -0.49  -404.10     27.70      6.20    4.44    193859.0
 2010 04 01 02 01 00 000    6.25    -6.09    -0.08  -404.50     23.20      4.40    4.23    211890.0
 2010 04 01 02 02 00 000    5.26    -6.74     0.83  -401.60      9.90     -4.40    4.69    218308.0
 2010 04 01 02 03 00 000    5.89    -6.36     0.34  -401.60      9.90     -4.40    4.69    218308.0
 2010 04 01 02 04 00 000    5.88    -6.62     0.12  -401.60      9.90     -4.40    4.69    218308.0
 2010 04 01 02 05 00 000    5.51    -6.19     1.30  -401.60      9.90     -4.40    4.69    218308.0
