 Spectral data from ../../Hitr04/02_hit04.par_fmt                               
           220.0    es la weighting temperature
          36  es el no. de temp. diferentes
   648.478   582.000   721.000       central wave#, min w#, max w#
  3     no. grupos en este intervalo :
 number     strength   alor_self    alor_air      a_dop  spacing
   42.0  9.271939E-22  1.0061E-01  8.9660E-02  5.8779E-04   1.1138E+00
   64.0  1.315057E-19  1.3641E-01  1.0055E-01  5.8887E-04   1.0129E+00
 190.00
   28.0  8.206701E-26  8.1355E-02  8.0993E-02  5.6847E-04   1.1468E+00
   42.0  7.052123E-22  1.0487E-01  9.3334E-02  5.7258E-04   1.1138E+00
   64.0  1.324129E-19  1.4216E-01  1.0465E-01  5.7393E-04   1.0129E+00
 180.00
   28.0  3.599975E-26  8.4418E-02  8.4012E-02  5.5227E-04   1.1468E+00
   42.0  5.197756E-22  1.0955E-01  9.7373E-02  5.5697E-04   1.1138E+00
   64.0  1.331878E-19  1.4845E-01  1.0915E-01  5.5860E-04   1.0129E+00
 170.00
   28.0  1.433217E-26  8.7785E-02  8.7331E-02  5.3558E-04   1.1468E+00
   42.0  3.692882E-22  1.1472E-01  1.0184E-01  5.4090E-04   1.1138E+00
   64.0  1.338333E-19  1.5538E-01  1.1411E-01  5.4283E-04   1.0129E+00
 160.00
   28.0  5.087400E-27  9.1507E-02  9.0999E-02  5.1835E-04   1.1468E+00
   42.0  2.512550E-22  1.2048E-01  1.0679E-01  5.2433E-04   1.1138E+00
   64.0  1.343557E-19  1.6306E-01  1.1960E-01  5.2660E-04   1.0129E+00
 150.00
   28.0  1.574367E-27  9.5648E-02  9.5079E-02  5.0053E-04   1.1468E+00
   42.0  1.623539E-22  1.2693E-01  1.1234E-01  5.0722E-04   1.1138E+00
   64.0  1.347643E-19  1.7161E-01  1.2573E-01  5.0985E-04   1.0129E+00
 140.00
   28.0  4.127031E-28  1.0029E-01  9.9649E-02  4.8206E-04   1.1468E+00
   42.0  9.858201E-23  1.3421E-01  1.1860E-01  4.8951E-04   1.1138E+00
   64.0  1.350712E-19  1.8121E-01  1.3261E-01  4.9254E-04   1.0129E+00
 130.00
   28.0  8.826049E-29  1.0553E-01  1.0481E-01  4.6288E-04   1.1468E+00
   42.0  5.547654E-23  1.4249E-01  1.2571E-01  4.7112E-04   1.1138E+00
   64.0  1.352913E-19  1.9207E-01  1.4040E-01  4.7460E-04   1.0129E+00
 120.00
   28.0  1.464725E-29  1.1150E-01  1.1069E-01  4.4291E-04   1.1468E+00
   42.0  2.840621E-23  1.5202E-01  1.3388E-01  4.5198E-04   1.1138E+00
   64.0  1.354413E-19  2.0448E-01  1.4932E-01  4.5595E-04   1.0129E+00
 110.00
   28.0  1.761969E-30  1.1838E-01  1.1747E-01  4.2206E-04   1.1468E+00
   42.0  1.290809E-23  1.6309E-01  1.4337E-01  4.3199E-04   1.1138E+00
   64.0  1.355388E-19  2.1883E-01  1.5964E-01  4.3652E-04   1.0129E+00
 100.00
   28.0  1.396578E-31  1.2641E-01  1.2537E-01  4.0026E-04   1.1468E+00
   42.0  5.027238E-24  1.7616E-01  1.5454E-01  4.1101E-04   1.1138E+00
   64.0  1.356010E-19  2.3564E-01  1.7176E-01  4.1619E-04   1.0129E+00
  90.00
   28.0  6.355034E-33  1.3593E-01  1.3474E-01  3.7739E-04   1.1468E+00
   42.0  1.596103E-24  1.9182E-01  1.6792E-01  3.8892E-04   1.1138E+00
   64.0  1.356437E-19  2.5568E-01  1.8624E-01  3.9481E-04   1.0129E+00
  80.00
   28.0  1.350011E-34  1.4740E-01  1.4604E-01  3.5336E-04   1.1468E+00
   42.0  3.833272E-25  2.1099E-01  1.8427E-01  3.6550E-04   1.1138E+00
   64.0  1.356800E-19  2.8009E-01  2.0390E-01  3.7221E-04   1.0129E+00
  70.00
   28.0  9.668721E-37  1.6157E-01  1.5999E-01  3.2806E-04   1.1468E+00
   42.0  6.194654E-26  2.3504E-01  2.0475E-01  3.4054E-04   1.1138E+00
   64.0  1.357203E-19  3.1061E-01  2.2604E-01  3.4816E-04   1.0129E+00
  60.00
   28.0  1.355400E-39  1.7957E-01  1.7773E-01  3.0135E-04   1.1468E+00
   42.0  5.545394E-27  2.6619E-01  2.3126E-01  3.1372E-04   1.1138E+00
   64.0  1.357737E-19  3.5016E-01  2.5478E-01  3.2231E-04   1.0129E+00
  20.00
   28.0  1.393347E-43  2.0336E-01  2.0119E-01  2.7304E-04   1.1468E+00
   42.0  1.938183E-28  3.0830E-01  2.6708E-01  2.8468E-04   1.1138E+00
   64.0  1.358508E-19  4.0387E-01  2.9390E-01  2.9422E-04   1.0129E+00
